"1jofA00-i2","2.130.10.10","YVTN repeat-like/Quinoprotein amine dehydrogenase ","1jofA00"
"4krmF00-i2","2.60.40.10","Immunoglobulins","4krmF00"
"2hftA02-i2","2.60.40.10","Immunoglobulins","2hftA02"
"2uu7A01-i1","3.10.20.70","Glutamine synthetase, N-terminal domain","2uu7A01"
"1weyA00-i2","3.30.70.330","","1weyA00"
"2vhjA02-i1","2.30.270.20","","2vhjA02"
"1mvuA00-i2","2.60.40.10","Immunoglobulins","1mvuA00"
"1vquB02-i2","3.40.1030.10","Pyrimidine Nucleoside Phosphorylase; Chain A, domain 2","1vquB02"
"1mdcA00-i1","2.40.128.20","","1mdcA00"
"5bphD03-i1","3.30.1490.20","ATP-grasp fold, A domain","5bphD03"
"3r72A00-i2","1.10.238.20","","3r72A00"
"4zfzA01-i1","3.30.500.10","Murine Class I Major Histocompatibility Complex, H2-DB, subunit A, domain 1","4zfzA01"
"2lfeA00-i1","2.60.40.2840","","2lfeA00"
"2pg0A03-i2","1.20.140.10","Butyryl-CoA Dehydrogenase, subunit A, domain 3","2pg0A03"
"5hmlA02-i1","1.10.150.20","5' to 3' exonuclease, C-terminal subdomain","5hmlA02"
"3cexA00-i2","1.20.120.450","dinb family like domain","3cexA00"
"3e15A00-i1","3.40.50.1360","","3e15A00"
"2qgmA01-i1","3.40.1660.10","EreA-like (biosynthetic domain)","2qgmA01"
"2pmzB05-i1","3.90.1070.20","","2pmzB05"
"2bo1A00-i1","3.30.1330.30","","2bo1A00"
"1ok0A00-i1","2.60.40.20","alpha-Amylase inhibitor tendamistat","1ok0A00"
"1ornA02-i1","1.10.1670.10","Helix-hairpin-Helix base-excision DNA repair enzymes (C-terminal)","1ornA02"
"4ioxC00-i1","3.30.420.320","","4ioxC00"
"2f2hA04-i1","2.60.40.1180","Golgi alpha-mannosidase II","2f2hA04"
"2f2hA01-i2","2.60.40.1760","glycosyl hydrolase (family 31)","2f2hA01"
"1h1lD03-i2","3.40.50.1980","Nitrogenase molybdenum iron protein domain","1h1lD03"
"3oehH01-i1","2.60.15.10","ATP Synthase; domain 1","3oehH01"
"1zgwA01-i1","3.40.10.10","DNA Methylphosphotriester Repair Domain","1zgwA01"
"2qiyA00-i1","3.10.450.50","","2qiyA00"
"2xauA02-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","2xauA02"
"1yphE00-i2","2.40.10.10","Trypsin-like serine proteases","1yphE00"
"3u4bL01-i2","2.60.40.10","Immunoglobulins","3u4bL01"
"4hvqA00-i2","2.60.120.10","Jelly Rolls","4hvqA00"
"3zkeA00-i1","3.30.740.10","Protein Inhibitor Of Neuronal Nitric Oxide Synthase;","3zkeA00"
"3dxpA02-i1","3.90.1200.10","","3dxpA02"
"4yvoA00-i2","1.25.40.10","","4yvoA00"
"2rk0A01-i2","3.10.180.10","2,3-Dihydroxybiphenyl 1,2-Dioxygenase, domain 1","2rk0A01"
"3effB01-i2","2.60.40.10","Immunoglobulins","3effB01"
"4gb3100-i2","2.60.120.20","","4gb3100"
"2pg0A01-i2","1.10.540.10","Butyryl-Coa Dehydrogenase, subunit A, domain 1","2pg0A01"
"1b8wA00-i1","2.20.20.10","Anthopleurin-A","1b8wA00"
"2xauA03-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","2xauA03"
"1dqnA00-i2","3.40.50.2020","","1dqnA00"
"1s68A02-i1","3.30.470.30","DNA ligase/mRNA capping enzyme","1s68A02"
"1q7fB00-i1","2.120.10.30","TolB, C-terminal domain","1q7fB00"
"3a03A00-i2","1.10.10.60","Homeodomain-like","3a03A00"
"3lzaA00-i1","3.10.450.50","","3lzaA00"
"2ef5A00-i1","3.40.800.10","","2ef5A00"
"4rvnA01-i1","3.40.50.12780","","4rvnA01"
"1us2A02-i2","3.20.20.80","Glycosidases","1us2A02"
"2h34A02-i2","1.10.510.10","Transferase(Phosphotransferase) domain 1","2h34A02"
"1vkiA00-i2","3.90.960.10","YbaK/ProRS associated domain","1vkiA00"
"3dteA03-i1","3.30.450.130","irre protein","3dteA03"
"1vs9J01-i2","3.100.10.10","","1vs9J01"
"3fdfC01-i1","3.40.50.2300","","3fdfC01"
"5b1rA00-i2","3.10.100.10","Mannose-Binding Protein A, subunit A","5b1rA00"
"3u0tA01-i2","2.60.40.10","Immunoglobulins","3u0tA01"
"3d6xA00-i2","3.10.129.10","Hotdog Thioesterase ","3d6xA00"
"4hvsA01-i1","3.30.200.20","Phosphorylase Kinase; domain 1","4hvsA01"
"5ktkA00-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","5ktkA00"
"2pz0B00-i1","3.20.20.190","Phosphatidylinositol (PI) phosphodiesterase","2pz0B00"
"4ah6A01-i2","2.40.50.140","Nucleic acid-binding proteins","4ah6A01"
"4esaD00-i2","1.10.490.10","Globins","4esaD00"
"5kytA02-i1","3.40.50.980","","5kytA02"
"1j30A00-i2","1.20.1260.10","","1j30A00"
"4yf4A00-i1","3.40.1050.10","Beta-carbonic Anhydrase; Chain A","4yf4A00"
"3c8tA01-i1","1.10.275.10","Fumarase/aspartase (N-terminal domain)","3c8tA01"
"1vkzA04-i1","3.90.600.10","Glycinamide Ribonucleotide Synthetase; Chain A, domain 4","1vkzA04"
"4c1sA00-i1","1.50.10.20","","4c1sA00"
"3cvgA01-i2","3.40.190.10","Periplasmic binding protein-like II","3cvgA01"
"4jcmA02-i2","2.60.40.1180","Golgi alpha-mannosidase II","4jcmA02"
"3h41A01-i1","2.30.30.40","SH3 Domains","3h41A01"
"1xruB02-i1","2.60.120.10","Jelly Rolls","1xruB02"
"3s46A01-i1","2.40.37.10","Lyase, Ornithine Decarboxylase; Chain A, domain 1","3s46A01"
"3p54A04-i1","2.60.40.350","","3p54A04"
"3svsA00-i1","2.40.155.10","Green Fluorescent Protein","3svsA00"
"2c9yA00-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","2c9yA00"
"3t5vA00-i1","1.25.40.990","","3t5vA00"
"3buxB01-i1","1.20.930.20","N-terminal domain of cbl (N-cbl)","3buxB01"
"3n1fD00-i2","2.60.40.10","Immunoglobulins","3n1fD00"
"3ha2A00-i2","3.40.50.360","","3ha2A00"
"4ffjA00-i1","3.90.870.10","DHBP synthase","4ffjA00"
"3ofgB00-i1","3.30.70.260","","3ofgB00"
"3sluB03-i2","2.70.70.10","Glucose Permease (Domain IIA)","3sluB03"
"2yfuA00-i2","2.60.120.260","Galactose-binding domain-like","2yfuA00"
"3p54A03-i1","3.30.387.10","Viral Envelope Glycoprotein, domain 3","3p54A03"
"5ewiL01-i2","2.60.40.10","Immunoglobulins","5ewiL01"
"4id9B02-i1","3.90.25.60","","4id9B02"
"4ql3A00-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","4ql3A00"
"4nt1D00-i1","1.10.3520.10","Glycolipid transfer protein, GLTP ","4nt1D00"
"1y6oA00-i1","1.20.90.10","Phospholipase A2","1y6oA00"
"4o1hA00-i1","3.40.50.2300","","4o1hA00"
"3rzwA00-i2","2.60.40.10","Immunoglobulins","3rzwA00"
"1kyaA03-i2","2.60.40.420","Cupredoxins -  blue copper proteins","1kyaA03"
"2panA01-i1","3.40.50.970","","2panA01"
"3bjaA00-i2","1.10.10.10","""winged helix"" repressor DNA binding domain","3bjaA00"
"3pnwO00-i2","2.30.30.140","","3pnwO00"
"1rgxA02-i1","3.30.1660.20","","1rgxA02"
"3c8tA02-i1","1.20.200.10","Fumarase/aspartase (Central domain)","3c8tA02"
"2p10B02-i1","1.20.5.460","Single helix bin","2p10B02"
"2jsdA00-i2","3.40.390.10","Collagenase (Catalytic Domain)","2jsdA00"
"3b9qA02-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","3b9qA02"
"1h7cA00-i1","1.20.58.90","","1h7cA00"
"1zo0A00-i1","3.40.630.60","","1zo0A00"
"3a7oB00-i1","1.20.5.170","","3a7oB00"
"3ldaA01-i2","1.10.150.20","5' to 3' exonuclease, C-terminal subdomain","3ldaA01"
"1ad3A01-i2","3.40.605.10","Aldehyde Dehydrogenase; Chain A, domain 1","1ad3A01"
"3gylB01-i1","2.40.10.10","Trypsin-like serine proteases","3gylB01"
"5fx6A01-i2","2.40.10.10","Trypsin-like serine proteases","5fx6A01"
"3jvaA01-i2","3.30.390.10","Enolase-like, N-terminal domain","3jvaA01"
"2f3xA00-i2","3.10.129.10","Hotdog Thioesterase ","2f3xA00"
"1u00A02-i2","1.20.1270.10","","1u00A02"
"3vo3A02-i2","1.10.510.10","Transferase(Phosphotransferase) domain 1","3vo3A02"
"3f3pD01-i1","2.20.25.500","","3f3pD01"
"2lclA00-i2","2.30.30.30","","2lclA00"
"2e9yB00-i2","3.40.1160.10","","2e9yB00"
"3sbqA01-i2","2.130.10.10","YVTN repeat-like/Quinoprotein amine dehydrogenase ","3sbqA01"
"3rf1A02-i1","1.20.58.180","Class II aaRS and biotin synthetases; domain 2","3rf1A02"
"2cs7A00-i1","2.30.30.680","","2cs7A00"
"2z26B00-i2","3.20.20.140","Metal-dependent hydrolases","2z26B00"
"3i9v400-i1","1.10.645.20","","3i9v400"
"3ca8A02-i1","3.40.50.620","HUPs","3ca8A02"
"3p54A01-i1","2.60.98.10","Tick-borne Encephalitis virus Glycoprotein, domain 1","3p54A01"
"4uaoB01-i2","2.60.40.10","Immunoglobulins","4uaoB01"
"1zgxA00-i1","3.10.450.30","Microbial ribonucleases","1zgxA00"
"1yu5X00-i1","1.10.950.10","Villin Headpiece Domain; Chain A","1yu5X00"
"1ad3A02-i2","3.40.309.10","Aldehyde Dehydrogenase; Chain A, domain 2","1ad3A02"
"3rh2A00-i1","1.10.357.10","Tetracycline Repressor, domain 2","3rh2A00"
"2wacA01-i2","2.40.50.90","","2wacA01"
"1u00A01-i1","2.60.34.10","Substrate Binding Domain Of DNAk; Chain A, domain 1","1u00A01"
"1njrA00-i2","3.40.220.10","Leucine Aminopeptidase, subunit E, domain 1","1njrA00"
"3s46A02-i2","3.20.20.10","Alanine racemase","3s46A02"
"5a4uA01-i1","3.40.30.10","Glutaredoxin","5a4uA01"
"2lw3A00-i1","2.60.40.2880","","2lw3A00"
"2qj9C00-i2","2.10.60.10","CD59","2qj9C00"
"3c3yA00-i2","3.40.50.150","Vaccinia Virus protein VP39","3c3yA00"
"3ca8A01-i1","1.10.3620.10","YdcF like domain","3ca8A01"
"4q1vA01-i1","2.140.10.30","","4q1vA01"
"1yfqA00-i2","2.130.10.10","YVTN repeat-like/Quinoprotein amine dehydrogenase ","1yfqA00"
"2rgoB03-i1","1.10.8.870","","2rgoB03"
"1tnxA02-i2","1.10.238.10","EF-hand","1tnxA02"
"4jcmA04-i1","2.60.40.10","Immunoglobulins","4jcmA04"
"1cbkA00-i1","3.30.70.560","","1cbkA00"
"3sbqA02-i2","2.60.40.420","Cupredoxins -  blue copper proteins","3sbqA02"
"3dbjA00-i1","1.10.490.20","Phycocyanins","3dbjA00"
"3q7eA02-i2","2.70.160.11","Hnrnp arginine n-methyltransferase1","3q7eA02"
"3zfvA02-i2","3.30.70.1900","","3zfvA02"
"3tp4B01-i1","3.20.20.80","Glycosidases","3tp4B01"
"5chwA02-i2","3.10.20.90","Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 1","5chwA02"
"4driA00-i2","3.10.50.40","","4driA00"
"3cprA00-i1","3.20.20.70","Aldolase class I","3cprA00"
"4izoA03-i1","3.30.470.20","ATP-grasp fold, B domain","4izoA03"
"4ku4A00-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","4ku4A00"
"5tgtA02-i2","1.10.10.350","","5tgtA02"
"4i9fA03-i1","3.30.300.290","","4i9fA03"
"3wirA01-i1","2.70.98.40","Galactose mutarotase-like. Domain 1","3wirA01"
"5dyfA02-i1","1.10.1740.60","","5dyfA02"
"3ajiB00-i2","1.10.8.60","","3ajiB00"
"4aibA01-i2","2.40.37.10","Lyase, Ornithine Decarboxylase; Chain A, domain 1","4aibA01"
"4xzdA00-i1","3.30.1500.10","","4xzdA00"
"1fg7A02-i2","3.90.1150.10","Aspartate Aminotransferase, domain 1","1fg7A02"
"4izoA01-i2","3.40.50.20","","4izoA01"
"4fgwA01-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","4fgwA01"
"2ay1A01-i1","3.90.1150.10","Aspartate Aminotransferase, domain 1","2ay1A01"
"4c9vA00-i1","3.50.30.30","","4c9vA00"
"2xjyA02-i2","2.10.110.10","Cysteine Rich Protein","2xjyA02"
"1khcA01-i1","2.30.30.140","","1khcA01"
"1atiB01-i2","3.30.930.10","Bira Bifunctional Protein; Domain 2","1atiB01"
"3aoxA01-i1","3.30.200.20","Phosphorylase Kinase; domain 1","3aoxA01"
"1elrA00-i1","1.25.40.10","","1elrA00"
"1c0aA02-i2","3.30.930.10","Bira Bifunctional Protein; Domain 2","1c0aA02"
"3oryA02-i2","1.10.150.20","5' to 3' exonuclease, C-terminal subdomain","3oryA02"
"3k62A00-i2","1.25.10.10","Leucine-rich Repeat Variant","3k62A00"
"1ff3C00-i1","3.30.1060.10","Peptide methionine sulfoxide reductase","1ff3C00"
"5tv2A02-i1","2.40.30.10","Translation factors","5tv2A02"
"4rdlA02-i2","2.40.30.120","Positive stranded ssRNA viruses","4rdlA02"
"3rbtD01-i1","3.40.30.10","Glutaredoxin","3rbtD01"
"4dk0A02-i2","2.40.30.170","","4dk0A02"
"3er0A01-i1","2.30.30.30","","3er0A01"
"4a17Y00-i1","2.20.25.30","","4a17Y00"
"4z0tA00-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","4z0tA00"
"4eysA02-i2","3.50.30.60","LD-carboxypeptidase A C-terminal domain-like","4eysA02"
"3gytA00-i2","1.10.565.10","Retinoid X Receptor","3gytA00"
"3i1jB00-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","3i1jB00"
"4f82B00-i2","3.40.30.10","Glutaredoxin","4f82B00"
"4hfwA01-i2","2.60.40.10","Immunoglobulins","4hfwA01"
"4d7sA02-i2","2.60.120.10","Jelly Rolls","4d7sA02"
"1a0eA00-i2","3.20.20.150","Divalent-metal-dependent TIM barrel enzymes","1a0eA00"
"2jelH02-i2","2.60.40.10","Immunoglobulins","2jelH02"
"4ilvB00-i1","2.60.130.10","Aromatic compound dioxygenase","4ilvB00"
"1jaeA02-i1","2.60.40.1180","Golgi alpha-mannosidase II","1jaeA02"
"3pukA04-i1","1.25.40.60","","3pukA04"
"3ojaA02-i1","1.20.58.1530","","3ojaA02"
"2dx0A00-i2","3.30.505.10","SHC Adaptor Protein","2dx0A00"
"2cw9A00-i1","3.10.450.240","","2cw9A00"
"1fg7A01-i2","3.40.640.10","Type I PLP-dependent aspartate aminotransferase-like (Major domain)","1fg7A01"
"3sjsA01-i2","1.10.238.10","EF-hand","3sjsA01"
"1g1tA02-i2","2.10.25.10","Laminin","1g1tA02"
"3op4A00-i2","3.40.50.720","NAD(P)-binding Rossmann-like Domain","3op4A00"
"3tqdA00-i2","3.90.550.10","Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A","3tqdA00"
"5j3nB00-i1","2.40.155.10","Green Fluorescent Protein","5j3nB00"
"1khcA02-i1","1.10.720.50","PWWP, helical domain","1khcA02"
"2zkhL01-i2","2.60.40.10","Immunoglobulins","2zkhL01"
"3zfdA00-i1","3.40.850.10","Kinesin","3zfdA00"
"2ahoB01-i2","2.40.50.140","Nucleic acid-binding proteins","2ahoB01"
"3hz7A00-i1","3.30.110.40","SirA-like","3hz7A00"
"3wkyB01-i1","1.20.1370.10","Hemocyanin, N-terminal domain","3wkyB01"
"2xbuA00-i2","3.40.50.2020","","2xbuA00"
"2ixtA00-i2","3.40.50.200","","2ixtA00"
"3l0iD00-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","3l0iD00"
"4eysA01-i1","3.40.50.10740","Class I glutamine amidotransferase-like","4eysA01"
"2xmjA00-i2","3.30.70.100","","2xmjA00"
"3pukA01-i1","3.40.50.2060","","3pukA01"
"2hf9A00-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","2hf9A00"
"1jaeA01-i1","3.20.20.80","Glycosidases","1jaeA01"
"4hs5A00-i1","3.30.920.10","Metal Transport, Frataxin; Chain A","4hs5A00"
"5kvfH01-i2","2.60.40.10","Immunoglobulins","5kvfH01"
"3mbkA01-i2","3.40.50.1240","Phosphoglycerate mutase-like","3mbkA01"
"2rt3A00-i2","3.30.70.330","","2rt3A00"
"1nxuA01-i1","1.10.1530.10","","1nxuA01"
"1atiB02-i2","3.40.50.800","Class II aaRS ABD-related","1atiB02"
"2fa1A00-i2","3.40.1410.10","Chorismate lyase-like","2fa1A00"
"2pa8D01-i1","3.30.1360.10","","2pa8D01"
"5ibtH01-i2","2.60.40.10","Immunoglobulins","5ibtH01"
"2yrbA01-i1","2.60.40.150","C2- domain Calcium/lipid binding domain","2yrbA01"
"1wtjA02-i1","3.30.1370.60","Hypothetical oxidoreductase yiak; domain 2","1wtjA02"
"3wirA02-i1","1.50.10.10","","3wirA02"
"2pa8D02-i1","2.170.120.12","RNA Polymerase Alpha Subunit; Chain A, domain 2","2pa8D02"
"1sdjA01-i1","3.10.310.10","Diaminopimelate Epimerase; Chain A, domain 1","1sdjA01"
"5dutA00-i1","3.90.209.20","","5dutA00"
"3pukA03-i1","3.90.830.10","Syntaxin Binding Protein 1; Chain A, domain 2","3pukA03"
"2ay1A02-i2","3.40.640.10","Type I PLP-dependent aspartate aminotransferase-like (Major domain)","2ay1A02"
"3rk6A00-i2","1.25.40.180","","3rk6A00"
"4d7sA01-i1","1.10.287.630","Helix hairpin bin","4d7sA01"
"3ukjA02-i2","3.40.50.2300","","3ukjA02"
"2lolA00-i2","1.10.1200.10","","2lolA00"
"2akjA02-i2","3.30.413.10","Sulfite Reductase Hemoprotein, domain 1","2akjA02"
"5ihsA00-i2","3.20.20.80","Glycosidases","5ihsA00"
"1j98A00-i1","3.30.1360.80","","1j98A00"
"4l80D00-i1","3.20.20.60","Phosphoenolpyruvate-binding domains","4l80D00"
"3wirA03-i2","2.60.420.10","Maltose phosphorylase, domain 3","3wirA03"
"1x25A00-i1","3.30.1330.40","","1x25A00"
"4bbyA03-i1","3.30.465.10","","4bbyA03"
"2nyyA04-i2","2.80.10.50","","2nyyA04"
"3fsdA00-i2","3.10.450.50","","3fsdA00"
"1gz0B02-i1","3.40.1280.10","","1gz0B02"
"2nyyA02-i1","1.20.1120.10","Clostridium botulinum neurotoxin b, ""coiled-coil"" domain","2nyyA02"
"4bh5A00-i2","2.70.70.10","Glucose Permease (Domain IIA)","4bh5A00"
"4ffvD01-i2","2.60.40.10","Immunoglobulins","4ffvD01"
"1midA00-i1","1.10.110.10","Plant lipid-transfer and hydrophobic proteins","1midA00"
"2bl0C02-i2","1.10.238.10","EF-hand","2bl0C02"
"3abzA04-i1","2.60.40.10","Immunoglobulins","3abzA04"
"5aa6A00-i2","1.10.606.10","Vanadium-containing Chloroperoxidase, domain 2","5aa6A00"
"2k16A00-i2","3.30.40.10","Zinc/RING finger domain, C3HC4 (zinc finger)","2k16A00"
"2qazD00-i1","2.30.30.220","SspB-like","2qazD00"
"2nqlA01-i2","3.30.390.10","Enolase-like, N-terminal domain","2nqlA01"
"2vgnB02-i2","3.30.420.60","","2vgnB02"
"3sucA02-i1","2.160.10.20","An insect antifreeze protein","3sucA02"
"1segA00-i1","3.30.30.10","","1segA00"
"3myiA00-i1","1.20.120.230","","3myiA00"
"1cpnA00-i2","2.60.120.200","","1cpnA00"
"5fb8B01-i2","2.60.40.10","Immunoglobulins","5fb8B01"
"3u5cd00-i1","4.10.830.10","30s Ribosomal Protein S14; Chain N","3u5cd00"
"3zqkA00-i2","3.40.50.410","","3zqkA00"
"3sk1C01-i1","3.30.720.120","","3sk1C01"
"4rlbA00-i1","2.40.160.170","","4rlbA00"
"3e0oC00-i1","2.170.150.20","Peptide methionine sulfoxide reductase.","3e0oC00"
"3sknA01-i2","2.60.40.10","Immunoglobulins","3sknA01"
"2ljyA00-i2","3.30.240.40","","2ljyA00"
"1vboA00-i2","2.100.10.30","","1vboA00"
"4omfB02-i1","2.30.30.1030","","4omfB02"
"3w0tA00-i2","3.10.180.10","2,3-Dihydroxybiphenyl 1,2-Dioxygenase, domain 1","3w0tA00"
"1k92A03-i1","1.10.287.400","","1k92A03"
"4gbdA02-i2","3.20.20.140","Metal-dependent hydrolases","4gbdA02"
"1a6tB01-i2","2.60.40.10","Immunoglobulins","1a6tB01"
"3cssA00-i1","3.40.50.1360","","3cssA00"
"4gdnC00-i1","3.40.710.10","DD-peptidase/beta-lactamase superfamily","4gdnC00"
"5eswB00-i2","3.40.50.2020","","5eswB00"
"2a38B01-i2","2.60.40.10","Immunoglobulins","2a38B01"
"3rcyA02-i1","3.20.20.120","Enolase superfamily","3rcyA02"
"3nvoA01-i2","3.30.460.20","CorA soluble domain-like","3nvoA01"
"2kdgA00-i2","2.60.40.10","Immunoglobulins","2kdgA00"
"2g7zA02-i1","3.30.1180.10","","2g7zA02"
"3kkcA01-i1","1.10.357.10","Tetracycline Repressor, domain 2","3kkcA01"
"2xepB02-i2","3.40.710.10","DD-peptidase/beta-lactamase superfamily","2xepB02"
"1q1vA00-i1","1.10.10.60","Homeodomain-like","1q1vA00"
"2xepB01-i1","3.10.450.280","","2xepB01"
"4kxwA03-i2","3.40.50.920","","4kxwA03"
"2vgnB01-i1","2.30.30.870","","2vgnB01"
"4c9cA00-i2","3.30.530.20","","4c9cA00"
"1xutA01-i1","4.10.1290.10","Tumor necrosis factor receptor superfamily","1xutA01"
"2cybA01-i1","3.40.50.620","HUPs","2cybA01"
"3eivD00-i2","2.40.50.140","Nucleic acid-binding proteins","3eivD00"
"2dvqA00-i2","1.20.920.10","Histone Acetyltransferase; Chain A","2dvqA00"
"4fxkC02-i1","2.40.50.120","","4fxkC02"
"2bl0C01-i2","1.10.238.10","EF-hand","2bl0C01"
"3abzA01-i1","3.20.20.300","","3abzA01"
"4mcwB01-i2","3.30.450.40","","4mcwB01"
"2ggmB01-i2","1.10.238.10","EF-hand","2ggmB01"
"1ayjA00-i1","3.30.30.10","","1ayjA00"
"3kk8A02-i2","1.10.510.10","Transferase(Phosphotransferase) domain 1","3kk8A02"
"2qf7A05-i1","1.10.472.90","","2qf7A05"
"4l7gA01-i2","2.40.70.10","Acid Proteases","4l7gA01"
"4l9lB01-i2","2.60.40.10","Immunoglobulins","4l9lB01"
"3ngpA00-i2","2.30.30.40","SH3 Domains","3ngpA00"
"3e29B00-i2","3.10.129.10","Hotdog Thioesterase ","3e29B00"
"3b2tB01-i1","3.30.200.20","Phosphorylase Kinase; domain 1","3b2tB01"
"4ag7A01-i2","3.40.630.30","","4ag7A01"
"3abzA03-i1","2.60.120.260","Galactose-binding domain-like","3abzA03"
"3nphB00-i1","1.10.3130.20","","3nphB00"
"1ioxA00-i2","2.10.25.10","Laminin","1ioxA00"
"1sjiA01-i2","3.40.30.10","Glutaredoxin","1sjiA01"
"3zyjA01-i2","3.80.10.10","Ribonuclease Inhibitor","3zyjA01"
"3iqcA00-i1","1.20.120.340","","3iqcA00"
"1qguB02-i2","3.40.50.1980","Nitrogenase molybdenum iron protein domain","1qguB02"
"3abzA02-i1","3.40.50.1700","","3abzA02"
"3nrlA00-i1","2.40.10.390","","3nrlA00"
"2nqlA02-i2","3.20.20.120","Enolase superfamily","2nqlA02"
"2fupA00-i1","1.20.58.300","FlgN-like","2fupA00"
"4lldB00-i2","2.60.40.10","Immunoglobulins","4lldB00"
"2wl1A00-i1","2.60.120.920","","2wl1A00"
"2lgwA00-i2","1.10.287.110","","2lgwA00"
"1zowA01-i1","3.40.47.10","","1zowA01"
"2g7zA01-i1","3.40.50.10170","","2g7zA01"
"1jubA02-i1","2.30.26.10","Dihydroorotate Dehydrogenase A, chain A, domain 2","1jubA02"
"4hkhA00-i1","2.30.110.20","Hcp1-like","4hkhA00"
"1zowA02-i2","3.40.47.10","","1zowA02"
"1i5nD00-i1","1.20.120.160","","1i5nD00"
"1xsfA00-i2","1.10.530.10","","1xsfA00"
"1o4uB02-i2","3.20.20.70","Aldolase class I","1o4uB02"
"2a26B01-i1","4.10.860.10","C-terminal UvrC-binding domain of UvrB","2a26B01"
"4l7gA02-i2","2.40.70.10","Acid Proteases","4l7gA02"
"4p1wA00-i1","1.10.10.2570","","4p1wA00"
"2jfzA02-i2","3.40.50.1860","","2jfzA02"
"3mxoB00-i2","3.40.50.1240","Phosphoglycerate mutase-like","3mxoB00"
"3qq2B00-i2","2.40.128.130","autotransporter esta","3qq2B00"
"2dvtA00-i2","3.20.20.140","Metal-dependent hydrolases","2dvtA00"
"2qimA00-i2","3.30.530.20","","2qimA00"
"4f6eB02-i1","2.40.500.20","","4f6eB02"
"4zkpA01-i1","1.20.5.340","","4zkpA01"
"1vpjA00-i1","3.20.130.10","fumarase","1vpjA00"
"1k92A01-i2","3.40.50.620","HUPs","1k92A01"
"1e93A00-i1","2.40.180.10","Catalase HpII,  Chain A, domain 1","1e93A00"
"1wgoA01-i2","2.60.40.10","Immunoglobulins","1wgoA01"
"3szhC00-i1","2.40.128.30","Avidin/streptavidin","3szhC00"
"3uxfA01-i2","2.60.40.10","Immunoglobulins","3uxfA01"
"3dljA02-i2","3.30.70.360","","3dljA02"
"4n90E01-i2","2.60.40.10","Immunoglobulins","4n90E01"
"2ysuB00-i1","1.10.287.620","Helix Hairpins","2ysuB00"
"5ewrA00-i2","3.30.1330.30","","5ewrA00"
"2p65A00-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","2p65A00"
"3lubA01-i1","3.40.50.10310","Creatininase","3lubA01"
"3krnA00-i2","3.30.230.70","GHMP Kinase, N-terminal domain","3krnA00"
"2copA00-i1","1.20.80.10","","2copA00"
"5bt8A02-i1","3.40.50.1260","","5bt8A02"
"4uyfB00-i2","1.20.920.10","Histone Acetyltransferase; Chain A","4uyfB00"
"4yr6A01-i2","2.60.40.10","Immunoglobulins","4yr6A01"
"3a52A02-i1","1.10.60.40","","3a52A02"
"4yf2A00-i1","1.10.530.10","","4yf2A00"
"4okhC00-i2","1.10.238.10","EF-hand","4okhC00"
"1plfB00-i2","2.40.50.40","","1plfB00"
"3cswC01-i2","3.30.470.10","","3cswC01"
"5kswB02-i2","3.40.50.80","Nucleotide-binding domain of ferredoxin-NADP reductase (FNR) module","5kswB02"
"5a2fA01-i2","2.60.40.10","Immunoglobulins","5a2fA01"
"3dljA01-i2","3.40.630.10","Zn peptidases","3dljA01"
"1j8uA00-i1","1.10.800.10","Phenylalanine Hydroxylase","1j8uA00"
"4nkqB01-i2","2.60.40.10","Immunoglobulins","4nkqB01"
"3d0fA01-i2","2.40.50.140","Nucleic acid-binding proteins","3d0fA01"
"3pu6A00-i1","3.40.50.1450","HybD-like","3pu6A00"
"3ip4C01-i2","1.10.20.60","","3ip4C01"
"3o63A00-i2","3.20.20.70","Aldolase class I","3o63A00"
"4gc1A03-i1","2.90.10.20","","4gc1A03"
"2dycA00-i2","2.60.120.200","","2dycA00"
"2wi8A01-i2","3.40.50.1980","Nitrogenase molybdenum iron protein domain","2wi8A01"
"3o8oF01-i2","3.40.50.450","","3o8oF01"
"3sqnB01-i1","1.10.10.10","""winged helix"" repressor DNA binding domain","3sqnB01"
"4xfsA00-i2","2.80.10.50","","4xfsA00"
"4a12A02-i2","3.10.129.10","Hotdog Thioesterase ","4a12A02"
"2yxmA00-i2","2.60.40.10","Immunoglobulins","2yxmA00"
"4ognA01-i2","1.10.245.10","MDM2","4ognA01"
"3bwvA02-i1","1.10.40.40","Deoxyribonucleotidase; domain 2","3bwvA02"
